id_produto,categoria,custo_medio,data,quantidade_saida,quantidade_entrada,preco_und_medio,valor_total,dia_semana,mes,is_weekend,semana_do_ano,saldo_dia,categoria_encoded
100101,Electronics,80.03144836425781,2022-01-01,102,447,72.72000061035156,39923.280124511715,5,1,1,52,102,1
100101,Electronics,80.03144836425781,2022-01-02,71,0,72.72000122070312,5163.120086669922,6,1,1,52,173,1
100101,Electronics,80.03144836425781,2022-01-03,142,229,69.6857666015625,25754.607714843747,0,1,0,1,315,1
100101,Electronics,80.03144836425781,2022-01-04,42,0,70.821533203125,2974.50439453125,1,1,0,1,357,1
100101,Electronics,80.03144836425781,2022-01-05,129,0,70.821533203125,9135.977783203125,2,1,0,1,486,1
100101,Electronics,80.03144836425781,2022-01-06,98,308,81.51031173706055,33622.32110046387,3,1,0,1,584,1
100101,Electronics,80.03144836425781,2022-01-07,92,0,78.9906234741211,7267.137359619141,4,1,0,1,676,1
100101,Electronics,80.03144836425781,2022-01-08,96,248,71.44905975341797,24139.33947265625,5,1,1,1,772,1
100101,Electronics,80.03144836425781,2022-01-09,57,0,74.33811950683594,4237.272811889648,6,1,1,1,829,1
100101,Electronics,80.03144836425781,2022-01-10,88,0,74.33811950683594,6541.7545166015625,0,1,0,2,917,1
100101,Electronics,80.03144836425781,2022-01-11,112,0,74.33811950683594,8325.869384765625,1,1,0,2,1029,1
100101,Electronics,80.03144836425781,2022-01-12,70,179,68.03926361083984,16693.33690551758,2,1,0,2,1099,1
100101,Electronics,80.03144836425781,2022-01-13,80,0,70.31852722167969,5625.482177734375,3,1,0,2,1179,1
100101,Electronics,80.03144836425781,2022-01-14,52,0,70.31852722167969,3656.5634155273438,4,1,0,2,1231,1
100101,Electronics,80.03144836425781,2022-01-15,126,287,79.69224151611328,33273.17486206055,5,1,1,2,1357,1
100101,Electronics,80.03144836425781,2022-01-16,54,298,72.84684463500977,25232.939220581055,6,1,1,2,1411,1
100101,Electronics,80.03144836425781,2022-01-17,73,0,74.52368927001953,5440.229316711426,0,1,0,3,1484,1
100101,Electronics,80.03144836425781,2022-01-18,101,0,74.52368927001953,7526.892616271973,1,1,0,3,1585,1
100101,Electronics,80.03144836425781,2022-01-19,103,0,74.52368927001953,7675.939994812012,2,1,0,3,1688,1
100101,Electronics,80.03144836425781,2022-01-20,20,0,74.52368927001953,1490.4737854003906,3,1,0,3,1708,1
100101,Electronics,80.03144836425781,2022-01-21,92,0,74.52368927001953,6856.179412841797,4,1,0,3,1800,1
100101,Electronics,80.03144836425781,2022-01-22,87,181,76.48950180053711,20564.09331329346,5,1,1,3,1887,1
100101,Electronics,80.03144836425781,2022-01-23,109,276,72.03603469848633,27517.435564270017,6,1,1,3,1996,1
100101,Electronics,80.03144836425781,2022-01-24,29,0,73.33206939697266,2126.630012512207,0,1,0,4,2025,1
100101,Electronics,80.03144836425781,2022-01-25,55,0,73.33206939697266,4033.263816833496,1,1,0,4,2080,1
100101,Electronics,80.03144836425781,2022-01-26,147,331,70.04471557617188,33263.386379394535,2,1,0,4,2227,1
100101,Electronics,80.03144836425781,2022-01-27,93,0,71.22943115234375,6624.337097167969,3,1,0,4,2320,1
100101,Electronics,80.03144836425781,2022-01-28,201,343,77.76360244750977,42677.76818389892,4,1,0,4,2521,1
100101,Electronics,80.03144836425781,2022-01-29,69,0,75.12720489501953,5183.777137756348,5,1,1,4,2590,1
100101,Electronics,80.03144836425781,2022-01-30,73,0,75.12720489501953,5484.285957336426,6,1,1,4,2663,1
100101,Electronics,80.03144836425781,2022-01-31,103,0,75.12720489501953,7738.102104187012,0,1,0,5,2766,1
100101,Electronics,80.03144836425781,2022-02-01,102,0,75.12720489501953,7662.974899291992,1,2,0,5,2868,1
100101,Electronics,80.03144836425781,2022-02-02,94,215,64.24914367675781,19358.19901123047,2,2,0,5,2962,1
100101,Electronics,80.03144836425781,2022-02-03,41,0,68.33828735351562,2801.8697814941406,3,2,0,5,3003,1
